GEOID,County,Score,Percentile,DAC,area
6001400100,Alameda,4.848521586312927,2.798789712556732,No,6940310.71
6001400200,Alameda,4.882125192243805,2.8744326777609683,No,527818.42
6001400300,Alameda,11.203485794080908,15.935451336359051,No,1140298.99
6001400400,Alameda,12.389989647368816,18.973777105395865,No,711839.47
6001400500,Alameda,16.73372960547734,29.740292486132127,No,593727.87
6001400600,Alameda,20.02392283482508,37.594553706505295,No,302250.84
6001400700,Alameda,36.71238166173259,70.13363590519415,No,865032.63
6001400800,Alameda,37.096412046239934,70.7135653050933,No,713513.96
6001400900,Alameda,40.70640245424232,76.14725163893091,Yes,434429.11
6001401000,Alameda,43.73487624215,80.3958648512355,Yes,1135435.72
6001401100,Alameda,32.926286404530806,63.85526979324256,No,867892.98
6001401200,Alameda,20.24937769949809,38.111447302067575,No,660750.91
6001401300,Alameda,43.67699489105702,80.34543620776601,Yes,867616.98
6001401400,Alameda,45.08219667028122,82.12304589006555,Yes,742798.89
6001401500,Alameda,44.52871493620069,81.42965204236006,Yes,468124.58
6001401600,Alameda,48.7788750514836,86.49773071104387,Yes,625406.81
6001401700,Alameda,43.46905075410336,80.09329299041856,Yes,11595869.79
6001401800,Alameda,45.098117724973136,82.16086737266768,Yes,290381.25
6001402200,Alameda,55.82017247808875,93.11649016641452,Yes,697566.55
6001402400,Alameda,37.30674673672163,71.0287443267776,No,343553.39
6001402500,Alameda,50.81259700827434,88.66616238023197,Yes,375932.91
6001402600,Alameda,42.11804053305527,78.2274331820474,Yes,316959.33
6001402700,Alameda,38.87429661291616,73.29803328290468,No,385645.12
6001402800,Alameda,41.72165858473158,77.66011094301564,Yes,
6001402801,,,,Missing,290829.55
6001402802,,,,Missing,118637.59
6001402900,Alameda,36.39389615241347,69.7428139183056,No,410114.67
6001403000,Alameda,53.40866037886153,91.238023197176,Yes,352673.36
6001403100,Alameda,35.96077346783382,69.0998487140696,No,337675.04
6001403300,Alameda,45.879245359898285,83.05597579425114,Yes,
6001403301,,,,Missing,197031.98
6001403302,,,,Missing,813121.11
6001403400,Alameda,29.43398114037879,57.6525466464952,No,
6001403401,,,,Missing,1172405.36
6001403402,,,,Missing,99075.43
6001403501,Alameda,25.309793237993727,49.48310640443772,No,664620.96
6001403502,Alameda,19.87207518953563,37.21633888048411,No,181231.24
6001403600,Alameda,25.583556093858935,50.05042864346949,No,389185.33
6001403701,Alameda,14.095436927422044,23.28542612203732,No,166306.99
6001403702,Alameda,14.98121616946704,25.52950075642965,No,208520.95
6001403800,Alameda,11.719226550258371,17.133131618759457,No,663014.74
6001403900,Alameda,16.00297779332554,27.82400403429148,No,460118.94
6001404000,Alameda,8.892282431810523,10.463943519919312,No,381801.71
6001404101,Alameda,9.346313499151682,11.28340897629854,No,582402.57
6001404102,Alameda,12.92224267758884,20.347957639939484,No,231283.32
6001404200,Alameda,7.303932504431387,7.337367624810892,No,2744240.47
6001404300,Alameda,3.824000965498029,1.2355017650025213,No,1823837.24
6001404400,Alameda,4.570866339250439,2.357539082198689,No,4148758.87
6001404501,Alameda,4.589199468552777,2.3827534039334344,No,1041411.21
6001404502,Alameda,6.270561813976818,5.282400403429148,No,3090986.41
6001404600,Alameda,4.69501207192423,2.5214321734745337,No,4857312.18
6001404700,Alameda,4.702739282520856,2.5340393343419065,No,1242085.43
6001404800,Alameda,14.330384555419233,23.877962682803837,No,623267.62
6001404900,Alameda,15.338561138512262,26.28593040847201,No,1015695.97
6001405000,Alameda,7.420909415038158,7.488653555219364,No,812341.8
6001405100,Alameda,6.27715773687958,5.29500756429652,No,1282178.62
6001405200,Alameda,21.971357545402743,42.09531013615734,No,849679.66
6001405301,Alameda,21.68906178407887,41.50277357539082,No,234353.53
6001405302,Alameda,30.21050573629402,59.11497730711044,No,193326.86
6001405401,Alameda,33.36382193973273,64.68734241048915,No,314171.99
6001405402,Alameda,36.47005198372538,69.83106404437721,No,284913.34
6001405500,Alameda,28.347593961141083,55.55975794251135,No,396842.22
6001405600,Alameda,24.82412024849833,48.36106908724155,No,440392.52
6001405700,Alameda,30.126543809785066,58.98890569843671,No,540249.46
6001405800,Alameda,28.802131194348075,56.55572365103379,No,522580.02
6001405901,Alameda,39.6794032883312,74.45789208270297,No,456415.29
6001405902,Alameda,41.25311779888619,77.00453857791226,Yes,490416.68
6001406000,Alameda,50.19768125997368,88.07362581946545,Yes,2661017.69
6001406100,Alameda,56.86543179371807,93.8603126575895,Yes,1925295.22
6001406201,Alameda,45.57223806023392,82.67776096822995,Yes,403724.2
6001406202,Alameda,42.00941760844658,78.07614725163893,Yes,385964.94
6001406300,Alameda,31.10621884451568,60.867372667675234,No,482705.48
6001406400,Alameda,30.24930125849221,59.1780131114473,No,548232.21
6001406500,Alameda,36.36626723838046,69.70499243570349,No,775146.27
6001406601,Alameda,27.025247496269536,53.0887544125063,No,722344.09
6001406602,Alameda,26.060578401951624,51.07160867372668,No,429215.66
6001406700,Alameda,10.222934118447638,13.540090771558244,No,1699463.53
6001406800,Alameda,13.003539071861734,20.53706505295008,No,940779.79
6001406900,Alameda,20.481159173438115,38.71659102370146,No,867480.02
6001407000,Alameda,29.700768243300647,58.14422592032275,No,861718.2
6001407101,Alameda,30.24710390426276,59.16540595057993,No,342845.6
6001407102,Alameda,35.41699577802571,68.25516893595562,No,657005.72
6001407200,Alameda,48.45643383352934,86.10690872415532,Yes,713780.98
6001407300,Alameda,65.03435602503157,97.84417549167928,Yes,2614539.48
6001407400,Alameda,45.375449641784805,82.36258194654565,Yes,512952.52
6001407500,Alameda,45.45020154069616,82.50126071608673,Yes,469457.39
6001407600,Alameda,31.100467026699068,60.82955118507312,No,1028415.15
6001407700,Alameda,15.736444392898903,27.21886031265759,No,918187.45
6001407800,Alameda,17.95725370522409,32.58951084215835,No,1203761.34
6001407900,Alameda,14.339094045633516,23.915784165405952,No,1073941.97
6001408000,Alameda,4.80236561012564,2.735753908219869,No,1975737.38
6001408100,Alameda,13.606508726626013,21.98688855269793,No,8974200.59
6001408200,Alameda,23.291997920751232,45.12102874432678,No,910799.39
6001408300,Alameda,31.39252102710929,61.30862329803328,No,1559042.56
6001408400,Alameda,27.6341319789995,54.17297024710035,No,552399.93
6001408500,Alameda,32.68196949081545,63.56530509329299,No,812716.49
6001408600,Alameda,34.61117886748773,66.94402420574886,No,1074000.86
6001408700,Alameda,33.16343614482704,64.38477054967221,No,1157815.11
6001408800,Alameda,61.00634348822341,96.24306606152294,Yes,1183444.66
6001408900,Alameda,52.20644446356576,90.26727181038832,Yes,823650.55
6001409000,Alameda,63.17220584921442,97.17599596570852,Yes,21315308.71
6001409100,Alameda,57.14378048368931,93.9989914271306,Yes,479789.38
6001409200,Alameda,46.20404986078818,83.4846192637418,Yes,716133.94
6001409300,Alameda,36.58998112524183,70.00756429652041,No,1075686.77
6001409400,Alameda,50.36829452845728,88.28794755421079,Yes,1244590.37
6001409500,Alameda,53.64985311043546,91.41452344931922,Yes,830899.8
6001409600,Alameda,32.30377565340359,62.922339889056985,No,748778.37
6001409700,Alameda,21.768726009190576,41.704488149268784,No,808935.37
6001409800,Alameda,30.411254563748763,59.505799293999,No,1781090.71
6001409900,Alameda,23.073533358356865,44.71759959657085,No,4334388.3
6001410000,Alameda,25.118384185248654,48.95360564800807,No,6659532.97
6001410100,Alameda,31.16609381973949,60.99344427634896,No,808124.89
6001410200,Alameda,26.9533507001787,52.92486132123045,No,615064.21
6001410300,Alameda,28.617720553428008,56.152294503277865,No,591393.18
6001410400,Alameda,28.061787692257987,55.13111447302067,No,711725.75
6001410500,Alameda,53.08211552077775,90.93545133635904,Yes,717566.28
6001420100,Alameda,6.520785785270005,5.799293998991427,No,563638.63
6001420200,Alameda,10.871285595922748,15.179021684316693,No,445752.01
6001420300,Alameda,16.072373848087253,28.076147251638933,No,
6001420301,,,,Missing,424648.21
6001420302,,,,Missing,1933426.59
6001420400,Alameda,23.881378812978426,46.4447806354009,No,
6001420401,,,,Missing,199463.53
6001420402,,,,Missing,2542433.8
6001420500,Alameda,21.685044814417896,41.49016641452345,No,431607.35
6001420600,Alameda,3.814617391498048,1.2102874432677762,No,781398.44
6001421100,Alameda,3.2817379412189385,0.8572869389813415,No,742858.56
6001421200,Alameda,3.4127094392814765,0.983358547655068,No,1294503.9
6001421300,Alameda,4.082427561009625,1.689359556227937,No,1092449.92
6001421400,Alameda,5.370929634150468,3.656076651538074,No,460905.78
6001421500,Alameda,4.323855783957872,2.0675743822491177,No,1567322.99
6001421600,Alameda,1.567925106486385,0.075642965204236,No,1338596.21
6001421700,Alameda,10.848085962699145,15.128593040847202,No,586288.06
6001421800,Alameda,9.607433822085577,11.951588502269288,No,524033.65
6001421900,Alameda,15.883248102318936,27.53403933434191,No,874799.93
6001422000,Alameda,34.156392108641626,66.17498739283914,No,10343673.28
6001422100,Alameda,27.313463671822728,53.60564800806858,No,552615.34
6001422200,Alameda,25.023233667898893,48.77710539586485,No,674957.62
6001422300,Alameda,17.641986279204584,31.93393847705497,No,561568.43
6001422400,Alameda,14.901049900988802,25.277357539082203,No,475117.26
6001422500,Alameda,14.155307933365965,23.424104891578416,No,485522.71
6001422700,Alameda,15.068896553236604,25.718608169440245,No,343523.55
6001422800,Alameda,16.051207025518522,27.98789712556732,No,406621.99
6001422900,Alameda,19.181254501343428,35.60262228946041,No,
6001422901,,,,Missing,159032.51
6001422902,,,,Missing,384074.29
6001423000,Alameda,23.681043718041643,45.81442259203227,No,727919.68
6001423100,Alameda,29.82012227830821,58.333333333333336,No,750932.96
6001423200,Alameda,39.80957538707278,74.68482097831568,No,455583.57
6001423300,Alameda,31.600661549480908,61.623802319717605,No,728229.06
6001423400,Alameda,22.31377338375284,42.77609682299546,No,764536.13
6001423500,Alameda,15.428026978580274,26.487644982349973,No,641087.54
6001423601,Alameda,10.496554237150036,14.094805849722642,No,514584.08
6001423602,Alameda,14.23851341405904,23.651033787191125,No,415436.56
6001423700,Alameda,7.266901752503849,7.223903177004538,No,728849.91
6001423800,Alameda,4.731086332943259,2.584467977811397,No,1107201.57
6001423901,Alameda,18.830794509513083,34.80837115481594,No,387811.88
6001423902,Alameda,11.02171923186474,15.5446293494705,No,294510.59
6001424001,Alameda,25.17563071683316,49.14271306101866,No,507905.39
6001424002,Alameda,32.13649883311722,62.64498234997479,No,321937.53
6001425101,Alameda,31.45978610207936,61.39687342410489,No,2629504.65
6001425102,Alameda,26.686014126061774,52.42057488653556,No,721762.58
6001425103,Alameda,23.05245215183975,44.62934947049924,No,933629.55
6001425104,Alameda,28.53101592416976,55.93797276853253,No,1060846.26
6001426100,Alameda,2.4771702976732093,0.4412506303580433,No,3011315.71
6001426200,Alameda,10.65797900967314,14.54866364094806,No,1394439.28
6001427100,Alameda,16.65537034463681,29.51336359051941,No,1192916.85
6001427200,Alameda,34.05718781378982,65.9102370146243,No,1943166.96
6001427300,Alameda,31.741178846948756,61.92637418053455,No,2800201.19
6001427600,Alameda,36.0788018681986,69.27634896621281,No,558988.77
6001427700,Alameda,20.480350540140883,38.69137670196672,No,1722677.65
6001427800,Alameda,17.639689871704306,31.9213313161876,No,841599.75
6001427900,Alameda,17.806325753556806,32.24911749873928,No,825491.73
6001428000,Alameda,28.54050804963675,55.97579425113464,No,535079.22
6001428100,Alameda,17.28852441900455,31.05143721633888,No,1062537.22
6001428200,Alameda,17.984539549209526,32.72818961169944,No,2145472.65
6001428301,Alameda,11.803747169976631,17.322239031770046,No,5814704.41
