Census Tract,Total,Poverty,TotalWhite,PovertyWhite,TotalBlack,PovertyBlack,TotalAIAN,PovertyAIAN,TotalAsian,PovertyAsian,TotalNHPI,PovertyNHPI,TotalOther,PovertyOther,TotalMixed,PovertyMixed,TotalWhiteNH,PovertyWhiteNH,TotalLatine,PovertyLatine,Inequality,pWhiteNH,pLatine,pBlack,pAIAN,pAsian,pNHPI,pOther,pMixed,pWhiteNH_poverty,pLatine_poverty,pBlack_poverty,pAIAN_poverty,pAsian_poverty,pNHPI_poverty,pOther_poverty,pMixed_poverty
6001401100,4287,529,2487,178,361,111,0,0,849,80,12,0,260,104,318,56,2246,156,461,155,0.4605,0.5239094938185211,0.10753440634476323,0.08420807091205972,0,0.1980405878236529,0.0027991602519244225,0.060648472125029156,0.0741777466759972,0.06945681211041853,0.3362255965292842,0.3074792243767313,NA,0.09422850412249706,0,0.4,0.1761006289308176
6001401200,2603,262,1771,135,289,63,7,2,301,23,0,0,116,20,119,19,1597,113,310,42,0.4187,0.6135228582404917,0.11909335382251249,0.11102573953131002,0.002689204763734153,0.11563580484056857,0,0.04456396465616596,0.0457164809834806,0.07075767063243582,0.13548387096774195,0.2179930795847751,0.2857142857142857,0.07641196013289037,NA,0.1724137931034483,0.15966386554621848
6001401300,3634,795,1505,303,1047,283,34,0,626,156,0,0,120,0,302,53,1386,275,369,71,0.5326,0.3813979086406164,0.1015410016510732,0.28811227297743536,0.009356081452944413,0.17226197028068244,0,0.03302146395156852,0.08310401761144744,0.1984126984126984,0.19241192411924118,0.2702960840496657,0,0.24920127795527156,NA,0,0.17549668874172186
6001401400,4732,1615,1510,259,1511,787,73,23,570,79,15,0,580,223,473,244,1218,190,897,250,0.5922,0.257396449704142,0.18956043956043955,0.31931530008453085,0.015426880811496195,0.12045646661031277,0.0031699070160608623,0.12256973795435334,0.09995773457311918,0.15599343185550082,0.2787068004459309,0.5208471211118465,0.3150684931506849,0.13859649122807016,0,0.38448275862068965,0.5158562367864693
6001401500,2839,489,1108,70,1065,383,12,0,129,19,24,0,272,17,229,0,1048,65,401,27,0.5752,0.3691440648115534,0.1412469179288482,0.3751320887636492,0.004226840436773511,0.04543853469531525,0.008453680873547023,0.09580838323353294,0.08066220500176119,0.06202290076335878,0.06733167082294264,0.3596244131455399,0,0.14728682170542637,0,0.0625,0
6001401600,2289,444,816,157,822,58,0,0,245,89,21,0,233,36,152,104,656,141,459,108,0.5264,0.28658802970729574,0.20052424639580602,0.35910878112712974,0,0.10703363914373089,0.009174311926605505,0.1017911751856706,0.06640454346876365,0.2149390243902439,0.23529411764705882,0.0705596107055961,NA,0.363265306122449,0,0.15450643776824036,0.6842105263157895
6001401700,2992,323,1430,83,514,174,0,0,367,26,17,0,405,40,259,0,1173,51,778,72,0.3817,0.39204545454545453,0.2600267379679144,0.17179144385026737,0,0.12266042780748664,0.005681818181818182,0.13536096256684493,0.08656417112299465,0.043478260869565216,0.09254498714652956,0.33852140077821014,NA,0.07084468664850137,0,0.09876543209876543,0
6001401800,1801,342,654,81,693,199,12,0,99,30,0,0,262,32,81,0,603,81,365,32,0.5065,0.3348139922265408,0.20266518600777345,0.38478622987229316,0.006662965019433648,0.054969461410327596,0,0.14547473625763466,0.044975013881177126,0.13432835820895522,0.08767123287671233,0.28715728715728717,0,0.30303030303030304,NA,0.12213740458015267,0
6001402200,2441,631,829,35,762,410,40,0,405,166,0,0,212,10,193,10,740,35,402,10,0.5325,0.3031544448996313,0.1646866038508808,0.3121671446128636,0.01638672675133142,0.16591560835723065,0,0.08684965178205653,0.07906595657517411,0.0472972972972973,0.024875621890547265,0.5380577427821522,0,0.40987654320987654,NA,0.04716981132075472,0.05181347150259067
6001402400,2848,444,782,74,1444,185,0,0,362,155,9,0,76,19,175,11,689,56,255,37,0.5867,0.24192415730337077,0.08953651685393259,0.5070224719101124,0,0.1271067415730337,0.0031601123595505617,0.026685393258426966,0.061446629213483143,0.08127721335268505,0.1450980392156863,0.1281163434903047,NA,0.4281767955801105,0,0.25,0.06285714285714286
6001402500,1781,627,211,7,1065,440,0,0,237,34,0,0,113,39,155,107,194,0,263,155,0.5189,0.10892756878158338,0.1476698483997754,0.5979786636720943,0,0.13307130825379002,0,0.06344750140370578,0.08702975856260528,0,0.5893536121673004,0.4131455399061033,NA,0.14345991561181434,NA,0.34513274336283184,0.6903225806451613
6001402600,1243,438,288,77,322,54,6,0,481,253,0,0,59,20,87,34,179,46,205,73,0.55,0.14400643604183427,0.16492357200321803,0.2590506838294449,0.004827031375703942,0.38696701528559935,0,0.04746580852775543,0.06999195494770716,0.2569832402234637,0.35609756097560974,0.16770186335403728,0,0.525987525987526,NA,0.3389830508474576,0.39080459770114945
6001402700,1873,508,540,86,794,290,12,0,205,19,0,0,261,107,61,6,439,56,389,137,0.5184,0.23438334223171384,0.20768820074746397,0.4239188467698879,0.006406833956219968,0.10945008008542445,0,0.13934863854778431,0.032568072610784836,0.1275626423690205,0.35218508997429304,0.36523929471032746,0,0.09268292682926829,NA,0.4099616858237548,0.09836065573770492
6001402800,4480,1321,1348,210,1706,629,26,26,832,312,0,0,126,57,442,87,1263,200,281,99,0.6031,0.2819196428571429,0.06272321428571428,0.3808035714285714,0.005803571428571429,0.18571428571428572,0,0.028125,0.09866071428571428,0.1583531274742676,0.35231316725978645,0.3686987104337632,1,0.375,NA,0.4523809523809524,0.19683257918552036
6001402900,1313,335,311,36,250,54,3,3,507,158,0,0,168,77,74,7,284,36,211,83,0.5291,0.2162985529322163,0.1607006854531607,0.19040365575019041,0.002284843869002285,0.38613861386138615,0,0.12795125666412796,0.05635948210205636,0.1267605633802817,0.3933649289099526,0.216,1,0.3116370808678501,NA,0.4583333333333333,0.0945945945945946
6001403000,2905,923,226,76,127,16,10,10,2366,809,72,12,43,0,61,0,189,59,66,17,0.5887,0.06506024096385542,0.022719449225473323,0.043717728055077454,0.0034423407917383822,0.8144578313253013,0.024784853700516352,0.014802065404475043,0.02099827882960413,0.31216931216931215,0.25757575757575757,0.12598425196850394,1,0.341927303465765,0.16666666666666666,0,0
6001403100,1812,486,646,55,260,97,6,6,781,312,12,12,46,0,61,4,573,55,139,4,0.4772,0.3162251655629139,0.07671081677704195,0.1434878587196468,0.0033112582781456954,0.4310154525386313,0.006622516556291391,0.025386313465783666,0.0336644591611479,0.09598603839441536,0.02877697841726619,0.3730769230769231,1,0.3994878361075544,1,0,0.06557377049180328
6001403300,4178,1116,1250,155,312,16,121,78,2182,791,0,0,74,12,239,64,1093,155,252,25,0.5064,0.26160842508377213,0.06031594064145524,0.07467687888942078,0.028961225466730495,0.5222594542843466,0,0.01771182383915749,0.05720440402106271,0.14181152790484905,0.0992063492063492,0.05128205128205128,0.6446280991735537,0.3625114573785518,NA,0.16216216216216217,0.26778242677824265
6001403400,4319,497,1804,16,860,270,19,0,1128,211,35,0,206,0,267,0,1699,16,355,13,0.4896,0.3933780967816624,0.0821949525353091,0.19912016670525584,0.004399166473720769,0.2611715674924751,0.008103727714748784,0.0476962259782357,0.06181986570965501,0.009417304296645085,0.036619718309859155,0.313953488372093,0,0.1870567375886525,0,0,0
6001403501,4410,776,1879,361,1096,68,54,9,835,253,39,0,58,18,449,67,1683,361,469,85,0.5005,0.3816326530612245,0.10634920634920635,0.24852607709750568,0.012244897959183673,0.1893424036281179,0.008843537414965987,0.013151927437641724,0.1018140589569161,0.21449792038027332,0.1812366737739872,0.06204379562043796,0.16666666666666666,0.3029940119760479,0,0.3103448275862069,0.1492204899777283
6001403502,2044,201,963,92,530,36,0,0,254,5,0,0,76,13,221,55,859,83,244,50,0.4525,0.42025440313111545,0.11937377690802348,0.25929549902152643,0,0.12426614481409001,0,0.03718199608610567,0.10812133072407044,0.09662398137369034,0.20491803278688525,0.06792452830188679,NA,0.01968503937007874,NA,0.17105263157894737,0.248868778280543
6001403600,5460,564,1857,127,2368,237,13,4,603,124,0,0,218,40,401,32,1605,93,736,149,0.4478,0.29395604395604397,0.1347985347985348,0.4336996336996337,0.002380952380952381,0.11043956043956044,0,0.039926739926739924,0.07344322344322345,0.05794392523364486,0.20244565217391305,0.10008445945945946,0.3076923076923077,0.20563847429519072,NA,0.1834862385321101,0.0798004987531172
6001403701,2930,431,1437,131,794,272,0,0,373,2,0,0,170,0,156,26,1256,104,359,45,0.4319,0.4286689419795222,0.12252559726962457,0.27098976109215017,0,0.1273037542662116,0,0.05802047781569966,0.05324232081911263,0.08280254777070063,0.12534818941504178,0.3425692695214106,NA,0.005361930294906166,NA,0,0.16666666666666666
6001403702,1912,156,1056,45,280,64,0,0,341,34,0,0,120,13,115,0,1002,45,189,13,0.4053,0.5240585774058577,0.09884937238493724,0.14644351464435146,0,0.17834728033472802,0,0.06276150627615062,0.06014644351464435,0.04491017964071856,0.06878306878306878,0.22857142857142856,NA,0.09970674486803519,NA,0.10833333333333334,0
6001403800,3351,183,2341,94,435,0,0,0,392,35,4,0,10,3,169,51,2270,92,120,33,0.4721,0.6774097284392718,0.03581020590868397,0.12981199641897942,0,0.11698000596836765,0.001193673530289466,0.0029841838257236644,0.05043270665472993,0.04052863436123348,0.275,0,NA,0.08928571428571429,0,0.3,0.30177514792899407
6001403900,4051,347,2474,183,549,143,9,0,655,21,0,0,77,0,287,0,2321,156,301,27,0.3586,0.5729449518637374,0.0743026413231301,0.13552209331029375,0.002221673660824488,0.1616884719822266,0,0.019007652431498396,0.07084670451740312,0.06721240844463593,0.08970099667774087,0.2604735883424408,0,0.03206106870229008,NA,0,0
6001404000,2895,197,1853,96,244,45,29,0,295,44,71,0,117,0,286,12,1598,96,475,0,0.4082,0.551986183074266,0.16407599309153714,0.0842832469775475,0.01001727115716753,0.10189982728842832,0.02452504317789292,0.04041450777202073,0.09879101899827289,0.060075093867334166,0,0.18442622950819673,0,0.14915254237288136,0,0,0.04195804195804196
6001404101,3016,184,2004,80,237,45,11,1,380,49,0,0,114,0,270,9,1876,80,211,9,0.4064,0.6220159151193634,0.06996021220159152,0.07858090185676393,0.003647214854111406,0.1259946949602122,0,0.03779840848806366,0.08952254641909814,0.042643923240938165,0.04265402843601896,0.189873417721519,0.09090909090909091,0.12894736842105264,NA,0,0.03333333333333333
6001404102,2524,240,1832,111,91,12,36,0,316,117,20,0,93,0,136,0,1712,111,258,16,0.5121,0.6782884310618067,0.10221870047543581,0.036053882725832015,0.014263074484944533,0.12519809825673534,0.00792393026941363,0.036846275752773376,0.05388272583201268,0.06483644859813084,0.06201550387596899,0.13186813186813187,0,0.370253164556962,0,0,0
6001404200,3678,161,2480,68,248,0,8,0,632,53,26,0,66,26,218,14,2364,67,183,1,0.44,0.6427406199021207,0.049755301794453505,0.0674279499728113,0.002175095160413268,0.17183251767264818,0.0070690592713431215,0.01794453507340946,0.059271343121261554,0.028341793570219966,0.00546448087431694,0,0,0.08386075949367089,0,0.3939393939393939,0.06422018348623854
6001404300,3443,111,2315,92,57,0,0,0,467,19,0,0,176,0,428,0,2248,92,413,0,0.4628,0.6529189660180076,0.1199535288992158,0.016555329654371186,0,0.13563752541388324,0,0.051118210862619806,0.12431019459773453,0.04092526690391459,0,0,NA,0.04068522483940043,NA,0,0
6001404400,5611,253,4019,228,131,0,40,0,729,14,0,0,0,0,692,11,3754,77,299,151,0.4556,0.6690429513455712,0.05328818392443415,0.023346996970237035,0.007128854036713598,0.12992336481910532,0,0,0.12332917483514524,0.020511454448588172,0.5050167224080268,0,0,0.019204389574759947,NA,NA,0.015895953757225433
6001404501,1809,38,1317,23,122,0,0,0,209,10,9,0,18,5,134,0,1201,12,121,16,0.4128,0.6639027086788281,0.06688778330569375,0.06744057490326147,0,0.11553344389165285,0.004975124378109453,0.009950248756218905,0.07407407407407407,0.009991673605328892,0.1322314049586777,0,NA,0.04784688995215311,0,0.2777777777777778,0
6001404502,5891,49,4682,19,104,10,13,2,624,18,0,0,74,0,394,0,4448,17,449,4,0.3865,0.75505007638771,0.0762179595993889,0.01765404854863351,0.0022067560685791886,0.10592429129180106,0,0.012561534544219996,0.06688168392463079,0.0038219424460431656,0.008908685968819599,0.09615384615384616,0.15384615384615385,0.028846153846153848,NA,0,0
6001404600,4625,172,3354,153,178,0,8,8,641,0,106,0,95,11,243,0,3223,132,223,21,0.3949,0.6968648648648649,0.04821621621621622,0.03848648648648648,0.0017297297297297297,0.13859459459459458,0.02291891891891892,0.02054054054054054,0.05254054054054054,0.040955631399317405,0.09417040358744394,0,1,0,0,0.11578947368421053,0
6001404700,2137,77,1616,60,128,0,0,0,286,12,9,5,27,0,71,0,1487,60,202,0,0.3951,0.6958352831071596,0.09452503509592887,0.059897051941974734,0,0.1338324754328498,0.004211511464670099,0.012634534394010294,0.033224145999064106,0.04034969737726967,0,0,NA,0.04195804195804196,0.5555555555555556,0,0
6001404800,2647,159,1517,39,423,35,92,0,293,18,0,0,52,25,270,42,1307,39,382,25,0.4949,0.4937665281450699,0.14431431809595768,0.15980355119002645,0.03475632791839819,0.1106913486966377,0,0.019644880997355497,0.10200226671703816,0.029839326702371844,0.06544502617801047,0.08274231678486997,0,0.06143344709897611,NA,0.4807692307692308,0.15555555555555556
6001404900,4197,153,2689,68,403,33,43,0,674,36,31,0,34,0,323,16,2354,64,497,4,0.4015,0.5608768167738861,0.11841791756016203,0.0960209673576364,0.010245413390517035,0.1605908982606624,0.007386228258279724,0.008101024541339052,0.07695973314272099,0.027187765505522515,0.008048289738430584,0.08188585607940446,0,0.05341246290801187,0,0,0.04953560371517028
6001405000,3379,168,2185,107,407,15,10,0,389,32,0,0,64,14,324,0,2090,107,236,14,0.4454,0.6185261911808227,0.06984314886060965,0.12044983722994969,0.002959455460195324,0.1151228174015981,0,0.018940514945250075,0.0958863569103285,0.05119617224880383,0.059322033898305086,0.036855036855036855,0,0.08226221079691516,NA,0.21875,0
6001405100,4285,114,2816,86,589,28,0,0,435,0,0,0,78,0,367,0,2786,76,147,18,0.4336,0.6501750291715286,0.034305717619603264,0.13745624270711784,0,0.10151691948658109,0,0.018203033838973162,0.08564760793465577,0.027279253409906678,0.12244897959183673,0.04753820033955857,NA,0,NA,0,0
6001405200,5183,305,2341,153,604,89,36,0,1635,61,25,0,151,2,391,0,1983,151,821,4,0.4589,0.3825969515724484,0.1584024696121937,0.11653482539070037,0.006945784294809956,0.31545437005595217,0.0048234613158402466,0.029133706347675092,0.07543893497974147,0.07614725163893091,0.0048721071863581,0.14735099337748345,0,0.03730886850152905,0,0.013245033112582781,0
6001405301,2899,340,1679,100,352,13,0,0,322,72,13,0,274,143,259,12,1555,87,485,156,0.4162,0.5363918592618144,0.16729906864436012,0.12142117971714385,0,0.11107278371852362,0.004484304932735426,0.09451535012073128,0.08934115212142119,0.05594855305466238,0.3216494845360825,0.036931818181818184,NA,0.2236024844720497,0,0.5218978102189781,0.04633204633204633
6001405302,2373,317,861,56,312,81,8,0,1004,171,0,0,53,0,135,9,730,48,192,25,0.5465,0.3076274757690687,0.08091024020227561,0.13147914032869784,0.00337126000842815,0.42309313105773283,0,0.022334597555836493,0.056890012642225034,0.06575342465753424,0.13020833333333334,0.25961538461538464,0,0.17031872509960158,NA,0,0.06666666666666667
6001405401,3623,578,872,92,638,156,0,0,1277,284,0,0,620,29,216,17,739,92,814,59,0.415,0.20397460667954734,0.22467568313552305,0.17609715705216672,0,0.35247032845707976,0,0.17112889870273254,0.059619100193210046,0.12449255751014884,0.07248157248157248,0.2445141065830721,NA,0.22239624119028975,NA,0.0467741935483871,0.0787037037037037
