Census Tract,County,env_exposure,env_effect,sens_pop,ses_factors,Pollution Burden,Pop Char,Pollution Burden MinMax,Pop Char MinMax,Score,Percentile,DAC
6019001100,Fresno,81.906,73.124,95.03,91.278,78.979,93.154,9.643,9.663,93.184,100.0,1
6077000700,San Joaquin,63.925,92.456,90.353,95.976,73.435,93.165,8.966,9.664,86.653,99.987,1
6037204920,Los Angeles,76.374,80.272,87.933,79.566,77.673,83.75,9.484,8.688,82.391,99.975,1
6019000700,Fresno,72.33,58.882,97.53,91.752,67.847,94.641,8.284,9.817,81.328,99.962,1
6019000200,Fresno,80.549,39.38,97.423,93.376,66.826,95.4,8.159,9.896,80.746,99.95,1
6037542402,Los Angeles,71.83,85.646,87.437,79.297,76.435,83.367,9.333,8.648,80.708,99.937,1
6019001000,Fresno,70.286,58.488,97.067,94.614,66.353,95.84,8.102,9.942,80.545,99.924,1
6037543202,Los Angeles,72.005,75.814,85.833,85.04,73.275,85.437,8.947,8.863,79.291,99.912,1
6019001202,Fresno,72.46,70.028,79.52,94.966,71.649,87.243,8.748,9.05,79.172,99.899,1
6077000100,San Joaquin,56.895,78.67,96.15,95.518,64.153,95.834,7.833,9.941,77.869,99.887,1
6037203300,Los Angeles,74.308,74.772,70.113,93.916,74.462,82.015,9.092,8.508,77.349,99.874,1
6037291220,Los Angeles,80.108,85.488,74.41,74.534,81.901,74.472,10.0,7.725,77.252,99.861,1
6037433501,Los Angeles,72.454,73.352,72.287,94.63,72.753,83.458,8.883,8.657,76.904,99.849,1
6037243100,Los Angeles,72.825,46.04,98.32,91.598,63.897,94.959,7.802,9.85,76.85,99.836,1
6037227010,Los Angeles,68.21,74.216,78.9,93.494,70.212,86.197,8.573,8.941,76.653,99.823,1
6037226001,Los Angeles,74.46,78.356,65.61,93.892,75.759,79.751,9.25,8.273,76.524,99.811,1
6019000300,Fresno,79.669,45.95,96.513,79.782,68.429,88.148,8.355,9.144,76.398,99.798,1
6037433101,Los Angeles,78.7,66.576,76.147,85.16,74.659,80.653,9.116,8.366,76.266,99.786,1
6037239202,Los Angeles,66.781,68.126,87.113,91.954,67.229,89.534,8.209,9.288,76.239,99.773,1
6037206050,Los Angeles,73.384,82.104,69.43,87.842,76.291,78.636,9.315,8.157,75.984,99.76,1
6037205120,Los Angeles,70.484,82.7,81.92,78.456,74.556,80.188,9.103,8.318,75.721,99.748,1
6077000300,San Joaquin,61.009,89.242,84.82,84.734,70.42,84.777,8.598,8.794,75.614,99.735,1
6037226002,Los Angeles,70.939,87.372,78.13,77.976,76.416,78.053,9.33,8.097,75.545,99.723,1
6019000902,Fresno,74.099,39.25,97.477,93.24,62.482,95.358,7.629,9.892,75.465,99.71,1
6099003700,Stanislaus,69.2,80.814,82.613,80.13,73.071,81.372,8.922,8.441,75.309,99.697,1
6019000400,Fresno,81.996,51.888,85.323,79.902,71.96,82.613,8.786,8.57,75.295,99.685,1
6037536104,Los Angeles,71.741,93.94,67.033,82.83,79.141,74.932,9.663,7.773,75.109,99.672,1
6037104703,Los Angeles,64.449,83.458,74.61,92.655,70.785,83.632,8.643,8.675,74.98,99.66,1
6037240500,Los Angeles,71.812,46.556,95.087,91.51,63.394,93.298,7.74,9.678,74.911,99.647,1
6037535400,Los Angeles,64.611,67.286,91.477,89.088,65.503,90.282,7.998,9.365,74.902,99.634,1
6071001600,San Bernardino,74.591,82.634,73.457,79.124,77.272,76.29,9.435,7.914,74.666,99.622,1
6037291210,Los Angeles,80.793,73.106,69.333,80.93,78.23,75.132,9.552,7.794,74.443,99.609,1
6037570403,Los Angeles,70.256,61.838,86.123,87.982,67.45,87.053,8.236,9.03,74.369,99.597,1
